product_detail_fsn,Cuft_per_Unit
ACCF3T5FKTMZHHSD,6.09E-02
ACCF3YPVXUHHGJUZ,0.0258110353
ACCF3YPVXUHHGJUZ,0.0258110353
ACCF5GA7ASHY6XFX,0.03121528083
ACCF5ZYFFXUPXVZP,0.004651872276
ACCF5ZYFFXUPXVZP,0.004651872276
ACCF5ZYFNRUU3RCV,0.00272932298
ACCF6C86QJCH5HJH,0.01859301203
ACCF6YH4TZZ2ZP7H,0.003648367134
ACCF6YH4TZZ2ZP7H,0.003648367134
ACCF72QN5RUMEWZD,0.1553121768
ACCF7W3FBCAZPRPY,0.03929362272
ACCF7W3XFWGACZRZ,0.03259823279
ACCF7W4CNMHUQRFC,0.03465924046
ACCF93H8NGVBYKQZ,0
ACCF93H8NGVBYKQZ,0
ACCF94NHDZAGWDS4,0.0009951202698
ACCF94NHDZAGWDS4,0.0009951202698
ACCF9FDPUNHGEH6H,0.009925146133
ACCF9FH5BZZTBVCE,0.1690304496
ACCF9FH5BZZTBVCE,0.1690304496
ACCF9X58RDHREU3V,0.460691024
ACCFBB8BYKCCRBZH,0.1116091473
ACCFBDCVVNXUWBXH,0.1204914953
ACCFBDCVVNXUWBXH,0.1477921719
ACCFBFGHEA8H7F7Q,2.06664336
ACCFBH83ZFXQHSPU,0.1207081396
ACCFBHDEHZFK6M2Y,0.1251121654
ACCFBHDEHZFK6M2Y,0.1194978707
ACCFBHDF8UG8GQGV,0.1305477496
ACCFBHDF8UG8GQGV,0.1305477496
ACCFDA68AAAWPWQY,0.005888034075
ACCFDA68FGHARH2V,0.004506287512
ACCFDA68FGHARH2V,0.004506287512
ACCFDGYT5EBKJH9J,0.004791103438
ACCFDGYT5EBKJH9J,0.008203163609
ACCFDGYT5HBTFXHE,0.006955031531
ACCFDGYT5HBTFXHE,0.005677635613
ACCFDGYTAC3Y4AH9,0.003357523909
ACCFDGYTAC3Y4AH9,0.003110443463
ACCFDGYTJV3ZDQAG,0.00486507169
ACCFDGYTQXJGGKNU,0.01360850835
ACCFDGYTQXJGGKNU,0.02190062151
ACCFDK469A9W96HJ,0.08493610961
ACCFDK469A9W96HJ,0.1019544395
ACCFDNE94XXYHPXN,0.01561298465
ACCFDNE94XXYHPXN,0.01599770141
ACCFDNE9C7AGDMSX,0.004021090609
ACCFDNE9YRXJNTBZ,0.004220464221
ACCFDNE9YRXJNTBZ,0.007008819477
ACCFE3YGMYWXFNF7,0.04405569882
ACCFEQJ5FZFT4YAN,0.1427325601
ACCFF6XGWJ5SXYGQ,1.006912835
ACCFF6XGWJ5SXYGQ,1.006912835
ACCFF98ZHCQUZHGA,0.02126132063
ACCFFNCHZ4ZSNTHK,0.02188118618
ACCFFNCHZ4ZSNTHK,0.02188118618
ACCFG6KAAPRT4RXG,0.009062616844
ACCFG6KAAPRT4RXG,0.009062616844
ACCFGNU45GPVFBHC,0.03801971499
ACCFGNU4WYRSQQF6,0.04642886232
ACCFGPHWEXCNK27X,0.08016267056
ACCFGPHWEXCNK27X,0.08016267056
ACCFGPHWZHE7NJVG,0.007113969441
ACCFGPHWZHE7NJVG,0.007113969441
ACCFGTVFFVNA8AZM,8.82E-02
ACCFGXUJBH6AEMV4,1.05132636
ACCFH6AEUFPPAGPH,0
ACCFH6AEUFPPAGPH,0
ACCFH7XCF2FAQQ2A,0.02260851418
ACCFHECY3ZNGWSRH,0.005474301585
ACCFHF64CGKTENAY,0.07143160714
ACCFHFGNXFC3Z6KD,0.1043440197
ACCFHFGNXFC3Z6KD,0.1043440197
ACCFHWT5ZVBTYDDY,0.007648005582
ACCFHWT5ZVBTYDDY,0.007648005582
ACCFJ42HU9QFCU86,1.74E-02
ACCFJ42HU9QFCU86,0.01744912032
ACCFJ42HU9QFCU86,0.01744912032
ACCFJKZYNYC97X8N,0.03366063701
ACCFJKZYNYC97X8N,0.03366063701
ACCFKH34UT94T96U,0.01714658021
ACCFKH34UT94T96U,0.01714658021
ACCFKTGTBPEMZEFM,0.03958322502
ACCFKTGTVDTHF7GQ,0.06702264877
ACCFKTGTVDTHF7GQ,0.06702264877
ACCFM4ZHVPVGBCUS,0.1780892728
ACCFN7V9SEG2QYAA,0.01226172059
ACCFN8FRYQ5GAHH4,1.05E-02
ACCFN994FPHYH7DG,0.009694892438
ACCFNFUKF9BKE5PS,0.01021933504
ACCFNYPEPUCDH8CK,0.02006568748
ACCFPHCUEAWDP8ET,0.003262261052
ACCFPKJBX3ZZ83ZK,0.01207734425
ACCFPNKRBGTCV2PY,0.01335366054
ACCFPNKRHMEK6Z9P,1.33E-02
ACCFPNKRHMEK6Z9P,0.01332488827
ACCFPNKRTNZBYH3A,0.01212720725
ACCFPNNCWBUUWJ7U,0.08294986911
ACCFQKGCGHHCDNHT,0.096446625
ACCFRR83EFREFT2U,0.1624729325
ACCFRR83EFREFT2U,0.1624729325
ACCFRR83SHYTWNAF,0.1585731069
ACCFS66EEDXYNYVW,0.09097202319
ACCFS66EEDXYNYVW,0.1144840342
ACCFSEGG4ZNHTHFG,0.0149375109
ACCFSEGG4ZNHTHFG,0.0149375109
ACCFT4GGGMH5AUGE,0.1180801555
ACCFTNYZHTVTHZGF,0.0110156459
ACCFTNYZHTVTHZGF,0.0110156459
ACCFTZ3SMDE59QRM,0.01095198674
ACCFTZ3SMDE59QRM,0.01095198674
ACCFTZ49WXGSCR34,0.07075672799
ACCFTZ57NDZW9KUW,0.01613502879
ACCFTZ6438YDTUYS,0.0158336323
ACCFTZ6438YDTUYS,0.0158336323
ACCFTZGREYWPY4GE,0.02712827612
ACCFTZGRJ7AG6ZJB,0.02407031034
ACCFTZGRUGVZGXB6,0.02525582708
ACCFU5WZWYREMKKW,0.02207063339
ACCFU5WZWYREMKKW,0.02207063339
ACCFUFSDYETCGRWB,0
ACCFUFSDYETCGRWB,0
ACCFUGACVY77ZAP3,0.01417140364
ACCFUJC6YG3MWYQ5,0.01597501368
ACCFUQ59HHZCHKHZ,0.937046375
ACCFUQ59HHZCHKHZ,0.937046375
ACCFURCCEPMEHXK8,0.009972167974
ACCFURCCHYYHFKWP,0.001384824056
ACCFURCCTMNJXDXA,0.005321335242
ACCFURCCTMNJXDXA,0.005321335242
ACCFUXTXY6PRYFFD,0.01724500068
ACCFUZPGFMH2YBJU,4.14E-03
ACCFUZPGFMH2YBJU,0.004142664548
ACCFUZPGFMH2YBJU,0.004142664548
ACCFVD7YFGHFVZQQ,0.04279213117
ACCFVNKTKYEXWGQM,0.1464666413
ACCFVWMHNFUEKAYJ,0.0751257215
ACCFVWMHNFUEKAYJ,0.08110462904
ACCFWGBCUETEVZPS,0.01639027402
ACCFWGBCUETEVZPS,0.01639027402
ACCFWHCESPTFYJGG,0.01001478633
ACCFWHCESPTFYJGG,1.86E-02
ACCFWHCESPTFYJGG,0.01864543907
ACCFWHCESPTFYJGG,0.01001478633
ACCFWHCESPTFYJGG,0.01864543907
